abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,10338,13797,10180,4456,5009,7479,6867,2339,2455,4389,13774,67137,81083,-13946,-0.879097327281896,13797,0
FrKr,Friedrichshain-Kreuzberg,9997,0,10518,4414,1385,3034,8204,16220,4866,2675,8593,2018,56060,71924,-15864,-1,16220,0
Pank,Pankow,11684,10609,0,2901,1395,2141,2786,4010,3658,4219,9500,3795,55616,56698,-1082,-0.0682047402924861,11684,0
ChWi,Charlottenburg-Wilmersdorf,9334,4126,3334,0,7179,10456,9312,3696,1241,789,1339,3656,52302,54462,-2160,-0.136157337367625,10456,0
Span,Spanda,3628,1375,1408,6007,0,1857,2982,1606,1256,1280,1910,2849,27653,26158,1495,0.0942385274836107,6007,0
StZe,Steglitz-Zehlendorf,3968,2541,1890,8151,1932,0,11129,3453,1082,723,1010,1719,44517,37598,6919,0.436144730206757,11129,0
TSch,Tempelhof-Schönefeld,6802,5666,2821,9891,2709,12852,0,10590,2010,1412,1685,2580,60033,59018,1015,0.0639813414019163,12852,0
Neuk,Neukölln,6231,9678,2928,3925,2487,4149,11491,0,5561,1716,2198,2677,55805,53041,2764,0.17423096318709,11491,0
TrKo,Treptow-Köpenick,1875,3022,2925,1098,793,1149,1822,4129,0,4443,4452,756,33372,26464,6908,0.435451336359052,4452,0
MaHe,Mazahn-Hellersdorf,1898,2248,3877,932,832,703,941,1139,5139,0,8636,865,31034,27210,3824,0.241048915784165,8636,0
Lich,Lichtenberg,3680,5022,7978,1576,1031,1096,1605,2051,5326,10337,0,1253,44964,40955,4009,0.252710539586485,10337,0
Rein,Reinickendorf,8040,1435,4140,3227,3454,2071,2282,2044,894,985,1252,0,35942,29824,6118,0.38565305093293,8040,0
