abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,2320,2899,2250,1002,925,1661,1598,448,461,920,1989
FrKr,Friedrichshain-Kreuzberg,2609,0,2598,1054,358,587,1376,2351,748,517,1241,349
Pank,Pankow,3465,2646,0,810,383,455,706,709,712,867,2080,960
ChWi,Charlottenburg-Wilmersdorf,2571,1040,779,0,1403,1913,2415,930,267,239,421,819
Span,Spanda,1122,326,351,1918,0,490,718,577,222,244,277,889
StZe,Steglitz-Zehlendorf,1313,781,552,2570,485,0,3186,930,315,177,294,504
TSch,Tempelhof-Schönefeld,1788,1981,659,2305,663,2670,0,2778,416,241,400,579
Neuk,Neukölln,1641,4070,1009,885,384,794,2518,0,1002,277,557,484
TrKo,Treptow-Köpenick,541,1198,862,306,317,278,495,1327,0,1245,1279,201
MaHe,Mazahn-Hellersdorf,562,699,1046,209,403,193,330,442,1127,0,2625,247
Lich,Lichtenberg,1074,2103,2364,336,406,257,420,511,1116,2006,0,327
Rein,Reinickendorf,3265,506,915,868,681,427,625,652,205,174,325,0
