abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,2464,2923,2312,782,938,1685,1449,413,483,913,2096
FrKr,Friedrichshain-Kreuzberg,2536,0,2660,1058,329,658,1349,2402,726,640,1341,358
Pank,Pankow,3281,2531,0,788,300,470,671,695,759,1069,2062,1135
ChWi,Charlottenburg-Wilmersdorf,2529,1089,670,0,1389,2050,2431,1028,244,237,331,807
Span,Spanda,965,343,303,1647,0,424,591,566,181,179,215,825
StZe,Steglitz-Zehlendorf,1220,730,484,2611,415,0,3176,1115,265,156,245,518
TSch,Tempelhof-Schönefeld,1826,2075,644,2394,637,2752,0,2787,448,217,353,582
Neuk,Neukölln,1712,3833,934,885,445,929,2745,0,1038,264,465,555
TrKo,Treptow-Köpenick,608,1193,987,322,308,263,475,1472,0,1384,1362,252
MaHe,Mazahn-Hellersdorf,507,553,984,154,235,150,378,367,967,0,2390,189
Lich,Lichtenberg,1087,2153,2277,272,454,246,406,515,1152,2319,0,265
Rein,Reinickendorf,3381,515,932,922,716,492,631,676,156,208,271,0
