abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,2627,2992,2504,829,941,1863,1727,459,476,940,2160
FrKr,Friedrichshain-Kreuzberg,2578,0,2688,1187,378,652,1656,2534,818,694,1302,411
Pank,Pankow,3770,2873,0,821,311,405,776,772,727,1014,2145,1232
ChWi,Charlottenburg-Wilmersdorf,2824,1195,722,0,1401,2161,2567,1121,237,166,371,974
Span,Spanda,1026,338,323,1678,0,452,707,607,209,144,224,877
StZe,Steglitz-Zehlendorf,1209,812,466,2734,455,0,3597,1198,280,131,245,479
TSch,Tempelhof-Schönefeld,1856,2160,685,2552,597,2831,0,3085,369,245,315,593
Neuk,Neukölln,1735,3847,807,984,398,951,2881,0,1139,325,500,492
TrKo,Treptow-Köpenick,568,1231,889,295,259,285,498,1522,0,1240,1338,193
MaHe,Mazahn-Hellersdorf,505,742,927,160,186,125,313,335,1041,0,2505,213
Lich,Lichtenberg,1050,1969,2236,271,368,198,433,535,1133,2367,0,272
Rein,Reinickendorf,3424,502,918,872,735,438,705,790,188,214,332,0
