abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,7750,10333,7609,3250,3791,5527,5117,1749,1673,3283,10110,50108,60192,-10084,-0.848607254060422,10333,0
FrKr,Friedrichshain-Kreuzberg,7343,0,7944,3316,1004,2296,6148,12141,3674,1962,6490,1504,41939,53822,-11883,-1,12141,0
Pank,Pankow,8873,7985,0,2128,987,1570,1988,2992,2779,3022,7119,2793,42009,42236,-227,-0.0191029201380123,8873,0
ChWi,Charlottenburg-Wilmersdorf,7013,3095,2479,0,5366,7897,7048,2779,941,551,952,2718,38824,40839,-2015,-0.169569973912312,7897,0
Span,Spanda,2641,1031,1025,4303,0,1399,1971,1221,974,909,1260,2072,20260,18806,1454,0.122359673483127,4303,0
StZe,Steglitz-Zehlendorf,2901,1882,1445,6089,1397,0,8426,2608,801,494,742,1299,33547,28084,5463,0.459732390810401,8426,0
TSch,Tempelhof-Schönefeld,5094,4191,2135,7347,2025,9703,0,7964,1495,1015,1243,1923,44679,44135,544,0.0457796852646638,9703,0
Neuk,Neukölln,4594,7184,2135,2974,1743,3166,8556,0,4164,1210,1593,1960,41844,39279,2565,0.215854582176218,8556,0
TrKo,Treptow-Köpenick,1353,2233,2257,829,591,866,1372,3097,0,3228,3397,546,25286,19769,5517,0.464276697803585,3397,0
MaHe,Mazahn-Hellersdorf,1406,1727,3008,693,614,521,707,794,4027,0,6574,600,22341,20671,1670,0.140536901455861,6574,0
Lich,Lichtenberg,2762,3804,6080,1126,720,800,1162,1576,4005,7619,0,895,33550,30549,3001,0.252545653454515,7619,0
Rein,Reinickendorf,6128,1057,3168,2410,2563,1538,1774,1555,677,658,897,0,26420,22425,3995,0.336194563662375,6128,0
