abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,5141,6868,5038,2128,2478,3739,3476,1208,1111,2209,6845,33635,40241,-6606,-0.825646794150731,6868,0
FrKr,Friedrichshain-Kreuzberg,5023,0,5298,2276,678,1515,4167,8071,2476,1263,4387,998,28151,36152,-8001,-1,8071,0
Pank,Pankow,5974,5387,0,1349,636,1018,1329,1983,1917,1976,4755,1878,28216,28202,14,0.00174978127734033,5974,0
ChWi,Charlottenburg-Wilmersdorf,4763,2041,1669,0,3448,5327,4743,1894,635,342,616,1850,26027,27328,-1301,-0.162604674415698,5327,0
Span,Spanda,1639,673,642,2900,0,914,1308,837,657,506,854,1391,13126,12321,805,0.100612423447069,2900,0
StZe,Steglitz-Zehlendorf,1976,1295,990,4176,907,0,5756,1814,523,301,485,872,22440,19095,3345,0.418072740907387,5756,0
TSch,Tempelhof-Schönefeld,3433,2815,1429,4932,1307,6517,0,5446,1000,685,823,1298,30199,29685,514,0.0642419697537808,6517,0
Neuk,Neukölln,2996,4833,1426,2044,1166,2236,5778,0,2837,768,1082,1308,28223,26474,1749,0.218597675290589,5778,0
TrKo,Treptow-Köpenick,905,1485,1545,562,369,551,956,2095,0,2101,2281,341,17237,13191,4046,0.505686789151356,2281,0
MaHe,Mazahn-Hellersdorf,945,1210,2141,454,370,344,466,517,2782,0,4568,426,14458,14223,235,0.029371328583927,4568,0
Lich,Lichtenberg,1842,2563,4000,705,443,506,762,1019,2726,4994,0,570,22630,20130,2500,0.312460942382202,4994,0
Rein,Reinickendorf,4139,708,2208,1591,1674,1034,1195,1071,476,411,570,0,17777,15077,2700,0.337457817772778,4139,0
