abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,10328,14103,10433,4276,5000,7383,6852,2317,2178,4333,13534,67626,80737,-13111,-0.857993586807146,14103,0
FrKr,Friedrichshain-Kreuzberg,9970,0,10817,4511,1342,3108,8308,15988,4905,2704,8459,2006,56837,72118,-15281,-1,15988,0
Pank,Pankow,11865,10673,0,2850,1310,2036,2673,3799,3668,3949,9355,3711,56855,55889,966,0.0632157581310124,11865,0
ChWi,Charlottenburg-Wilmersdorf,9517,4282,3300,0,7044,10631,9600,3763,1236,711,1223,3590,52563,54897,-2334,-0.152738695111576,10631,0
Span,Spanda,3470,1409,1336,5704,0,1854,2568,1619,1233,1095,1628,2807,26845,24723,2122,0.138865257509325,5704,0
StZe,Steglitz-Zehlendorf,3842,2534,1850,8250,1849,0,11257,3559,1086,619,940,1737,45153,37523,7630,0.499312872194228,11257,0
TSch,Tempelhof-Schönefeld,6957,5847,2911,9914,2732,13300,0,10845,1993,1328,1676,2628,59967,60131,-164,-0.0107322819187226,13300,0
Neuk,Neukölln,6321,9718,2907,4095,2350,4364,11641,0,5686,1545,2128,2750,55903,53505,2398,0.156926902689615,11641,0
TrKo,Treptow-Köpenick,1812,3051,2984,1066,800,1146,1741,4236,0,4269,4530,734,33604,26369,7235,0.473463778548524,4530,0
MaHe,Mazahn-Hellersdorf,1882,2421,4022,859,758,652,952,1119,5267,0,8941,814,29393,27687,1706,0.111641908252078,8941,0
Lich,Lichtenberg,3702,5106,8225,1497,944,1045,1477,2076,5343,10124,0,1227,44382,40766,3616,0.236633728159152,10124,0
Rein,Reinickendorf,8288,1468,4400,3384,3440,2017,2367,2047,870,871,1169,0,35538,30321,5217,0.341404358353511,8288,0
