abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,4974,5710,4571,1989,1992,3369,3235,970,953,1838,3901
FrKr,Friedrichshain-Kreuzberg,5197,0,5222,2085,702,1246,2851,4845,1537,1038,2459,727
Pank,Pankow,6929,5220,0,1665,766,900,1392,1502,1380,1736,3978,1932
ChWi,Charlottenburg-Wilmersdorf,5142,2138,1552,0,3107,3975,4959,1881,536,478,871,1636
Span,Spanda,2328,707,759,3731,0,1025,1402,1321,424,462,588,1780
StZe,Steglitz-Zehlendorf,2531,1519,1123,5129,943,0,6335,1913,598,359,590,1037
TSch,Tempelhof-Schönefeld,3740,4037,1457,4569,1674,5373,0,5713,866,475,843,1087
Neuk,Neukölln,3391,8149,2027,1802,769,1639,5144,0,2034,622,1032,973
TrKo,Treptow-Köpenick,1131,2390,1741,606,599,559,1010,2724,0,2357,2600,418
MaHe,Mazahn-Hellersdorf,1344,1412,2243,447,774,422,727,948,2342,0,5343,574
Lich,Lichtenberg,2180,4206,4745,723,1056,525,862,1116,2171,4068,0,682
Rein,Reinickendorf,6929,1020,1917,1806,1458,847,1282,1369,415,439,683,0
