abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,2609,3465,2571,1122,1313,1788,1641,541,562,1074,3265,16473,19951,-3478,-0.895929933024214,3465,0
FrKr,Friedrichshain-Kreuzberg,2320,0,2646,1040,326,781,1981,4070,1198,699,2103,506,13788,17670,-3882,-1,4070,0
Pank,Pankow,2899,2598,0,779,351,552,659,1009,862,1046,2364,915,13793,14034,-241,-0.0620814013395157,2899,0
ChWi,Charlottenburg-Wilmersdorf,2250,1054,810,0,1918,2570,2305,885,306,209,336,868,12797,13511,-714,-0.183925811437403,2570,0
Span,Spanda,1002,358,383,1403,0,485,663,384,317,403,406,681,7134,6485,649,0.167181865018032,1403,0
StZe,Steglitz-Zehlendorf,925,587,455,1913,490,0,2670,794,278,193,257,427,11107,8989,2118,0.545595054095827,2670,0
TSch,Tempelhof-Schönefeld,1661,1376,706,2415,718,3186,0,2518,495,330,420,625,14480,14450,30,0.00772797527047913,3186,0
Neuk,Neukölln,1598,2351,709,930,577,930,2778,0,1327,442,511,652,13621,12805,816,0.210200927357032,2778,0
TrKo,Treptow-Köpenick,448,748,712,267,222,315,416,1002,0,1127,1116,205,8049,6578,1471,0.37892838742916,1127,0
MaHe,Mazahn-Hellersdorf,461,517,867,239,244,177,241,277,1245,0,2006,174,7883,6448,1435,0.369654817104585,2006,0
Lich,Lichtenberg,920,1241,2080,421,277,294,400,557,1279,2625,0,325,10920,10419,501,0.129057187017002,2625,0
Rein,Reinickendorf,1989,349,960,819,889,504,579,484,201,247,327,0,8643,7348,1295,0.333590932509016,1989,0
