abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,5197,6929,5142,2328,2531,3740,3391,1131,1344,2180,6929,33502,40842,-7340,-0.933485946839629,6929,0
FrKr,Friedrichshain-Kreuzberg,4974,0,5220,2138,707,1519,4037,8149,2390,1412,4206,1020,27909,35772,-7863,-1,8149,0
Pank,Pankow,5710,5222,0,1552,759,1123,1457,2027,1741,2243,4745,1917,27400,28496,-1096,-0.139387002416381,5710,0
ChWi,Charlottenburg-Wilmersdorf,4571,2085,1665,0,3731,5129,4569,1802,606,447,723,1806,26275,27134,-859,-0.109245834923057,5129,0
Span,Spanda,1989,702,766,3107,0,943,1674,769,599,774,1056,1458,14527,13837,690,0.0877527661198016,3107,0
StZe,Steglitz-Zehlendorf,1992,1246,900,3975,1025,0,5373,1639,559,422,525,847,22077,18503,3574,0.45453389291619,5373,0
TSch,Tempelhof-Schönefeld,3369,2851,1392,4959,1402,6335,0,5144,1010,727,862,1282,29834,29333,501,0.0637161388782907,6335,0
Neuk,Neukölln,3235,4845,1502,1881,1321,1913,5713,0,2724,948,1116,1369,27582,26567,1015,0.129085590741447,5713,0
TrKo,Treptow-Köpenick,970,1537,1380,536,424,598,866,2034,0,2342,2171,415,16135,13273,2862,0.363983212514308,2342,0
MaHe,Mazahn-Hellersdorf,953,1038,1736,478,462,359,475,622,2357,0,4068,439,16576,12987,3589,0.456441561744881,4068,0
Lich,Lichtenberg,1838,2459,3978,871,588,590,843,1032,2600,5343,0,683,22334,20825,1509,0.191911484166349,5343,0
Rein,Reinickendorf,3901,727,1932,1636,1780,1037,1087,973,418,574,682,0,18165,14747,3418,0.4346941370978,3901,0
