abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,2588,3464,2571,1206,1218,1952,1750,590,782,1106,3664,17029,20891,-3862,-0.970108013062045,3664,0
FrKr,Friedrichshain-Kreuzberg,2654,0,2574,1098,381,738,2056,4079,1192,713,2103,514,14121,18102,-3981,-1,4079,0
Pank,Pankow,2811,2624,0,773,408,571,798,1018,879,1197,2381,1002,13607,14462,-855,-0.214770158251696,2811,0
ChWi,Charlottenburg-Wilmersdorf,2321,1031,855,0,1813,2559,2264,917,300,238,387,938,13478,13623,-145,-0.0364230092941472,2559,0
Span,Spanda,987,344,383,1704,0,458,1011,385,282,371,650,777,7393,7352,41,0.0102989198693796,1704,0
StZe,Steglitz-Zehlendorf,1067,659,445,2062,535,0,2703,845,281,229,268,420,10970,9514,1456,0.365737251946747,2703,0
TSch,Tempelhof-Schönefeld,1708,1475,686,2544,684,3149,0,2626,515,397,442,657,15354,14883,471,0.118311981914092,3149,0
Neuk,Neukölln,1637,2494,793,951,744,983,2935,0,1397,506,605,717,13961,13762,199,0.0499874403416227,2935,0
TrKo,Treptow-Köpenick,522,789,668,269,202,283,450,1032,0,1215,1055,210,8086,6695,1391,0.349409696056267,1215,0
MaHe,Mazahn-Hellersdorf,492,521,869,239,218,182,234,345,1112,0,2062,265,8693,6539,2154,0.541070082893745,2062,0
Lich,Lichtenberg,918,1218,1898,450,311,296,443,475,1321,2718,0,358,11414,10406,1008,0.253202712886209,2718,0
Rein,Reinickendorf,1912,378,972,817,891,533,508,489,217,327,355,0,9522,7399,2123,0.533283094699824,1912,0
