abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,5091,5915,4816,1611,1879,3548,3176,872,959,1853,4256
FrKr,Friedrichshain-Kreuzberg,5114,0,5348,2245,707,1310,3005,4936,1544,1334,2643,769
Pank,Pankow,7051,5404,0,1609,611,875,1447,1467,1486,2083,4207,2367
ChWi,Charlottenburg-Wilmersdorf,5353,2284,1392,0,2790,4211,4998,2149,481,403,702,1781
Span,Spanda,1991,681,626,3325,0,876,1298,1173,390,323,439,1702
StZe,Steglitz-Zehlendorf,2429,1542,950,5345,870,0,6773,2313,545,287,490,997
TSch,Tempelhof-Schönefeld,3682,4235,1329,4946,1234,5583,0,5872,817,462,668,1175
Neuk,Neukölln,3447,7680,1741,1869,843,1880,5626,0,2177,589,965,1047
TrKo,Treptow-Köpenick,1176,2424,1876,617,567,548,973,2994,0,2624,2700,445
MaHe,Mazahn-Hellersdorf,1012,1295,1911,314,421,275,691,702,2008,0,4895,402
Lich,Lichtenberg,2137,4122,4513,543,822,444,839,1050,2285,4686,0,537
Rein,Reinickendorf,6805,1017,1850,1794,1451,930,1336,1466,344,422,603,0
