abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,2605,3587,2509,1163,1258,1913,1764,600,604,1122,3464,17177,20589,-3412,-0.74514086044988,3587,0
FrKr,Friedrichshain-Kreuzberg,2559,0,2767,1187,335,785,2092,4238,1283,710,2234,483,14094,18673,-4579,-1,4238,0
Pank,Pankow,3051,2727,0,679,333,534,685,1049,930,992,2478,946,14455,14404,51,0.0111378030137585,3051,0
ChWi,Charlottenburg-Wilmersdorf,2451,983,881,0,1801,2716,2349,1009,313,188,344,928,13222,13963,-741,-0.161825726141079,2716,0
Span,Spanda,857,344,342,1511,0,499,671,392,349,271,400,675,6887,6311,576,0.125791657567154,1511,0
StZe,Steglitz-Zehlendorf,1038,637,520,2126,483,0,3004,885,260,151,239,380,11505,9723,1782,0.389167940598384,3004,0
TSch,Tempelhof-Schönefeld,1748,1466,758,2501,716,3341,0,2701,525,307,417,667,15484,15147,337,0.0735968552085608,3341,0
Neuk,Neukölln,1547,2431,731,1016,600,1121,2991,0,1365,401,567,632,14418,13402,1016,0.22188250709762,2991,0
TrKo,Treptow-Köpenick,492,759,786,318,188,286,508,1057,0,1134,1129,185,8611,6842,1769,0.386328892771347,1134,0
MaHe,Mazahn-Hellersdorf,462,570,1072,217,191,188,249,253,1398,0,2249,218,7584,7067,517,0.112906748198297,2249,0
Lich,Lichtenberg,929,1222,1938,374,228,261,409,554,1364,2604,0,299,11484,10182,1302,0.284341559292422,2604,0
Rein,Reinickendorf,2043,350,1073,784,849,516,613,516,224,222,305,0,8877,7495,1382,0.301812622843416,2043,0
