abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,5023,5974,4763,1639,1976,3433,2996,905,945,1842,4139
FrKr,Friedrichshain-Kreuzberg,5141,0,5387,2041,673,1295,2815,4833,1485,1210,2563,708
Pank,Pankow,6868,5298,0,1669,642,990,1429,1426,1545,2141,4000,2208
ChWi,Charlottenburg-Wilmersdorf,5038,2276,1349,0,2900,4176,4932,2044,562,454,705,1591
Span,Spanda,2128,678,636,3448,0,907,1307,1166,369,370,443,1674
StZe,Steglitz-Zehlendorf,2478,1515,1018,5327,914,0,6517,2236,551,344,506,1034
TSch,Tempelhof-Schönefeld,3739,4167,1329,4743,1308,5756,0,5778,956,466,762,1195
Neuk,Neukölln,3476,8071,1983,1894,837,1814,5446,0,2095,517,1019,1071
TrKo,Treptow-Köpenick,1208,2476,1917,635,657,523,1000,2837,0,2782,2726,476
MaHe,Mazahn-Hellersdorf,1111,1263,1976,342,506,301,685,768,2101,0,4994,411
Lich,Lichtenberg,2209,4387,4755,616,854,485,823,1082,2281,4568,0,570
Rein,Reinickendorf,6845,998,1878,1850,1391,872,1298,1308,341,426,570,0
