abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,9970,11865,9517,3470,3842,6957,6321,1812,1882,3702,8288
FrKr,Friedrichshain-Kreuzberg,10328,0,10673,4282,1409,2534,5847,9718,3051,2421,5106,1468
Pank,Pankow,14103,10817,0,3300,1336,1850,2911,2907,2984,4022,8225,4400
ChWi,Charlottenburg-Wilmersdorf,10433,4511,2850,0,5704,8250,9914,4095,1066,859,1497,3384
Span,Spanda,4276,1342,1310,7044,0,1849,2732,2350,800,758,944,3440
StZe,Steglitz-Zehlendorf,5000,3108,2036,10631,1854,0,13300,4364,1146,652,1045,2017
TSch,Tempelhof-Schönefeld,7383,8308,2673,9600,2568,11257,0,11641,1741,952,1477,2367
Neuk,Neukölln,6852,15988,3799,3763,1619,3559,10845,0,4236,1119,2076,2047
TrKo,Treptow-Köpenick,2317,4905,3668,1236,1233,1086,1993,5686,0,5267,5343,870
MaHe,Mazahn-Hellersdorf,2178,2704,3949,711,1095,619,1328,1545,4269,0,10124,871
Lich,Lichtenberg,4333,8459,9355,1223,1628,940,1676,2128,4530,8941,0,1169
Rein,Reinickendorf,13534,2006,3711,3590,2807,1737,2628,2750,734,814,1227,0
