abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,2654,2811,2321,987,1067,1708,1637,522,492,918,1912
FrKr,Friedrichshain-Kreuzberg,2588,0,2624,1031,344,659,1475,2494,789,521,1218,378
Pank,Pankow,3464,2574,0,855,383,445,686,793,668,869,1898,972
ChWi,Charlottenburg-Wilmersdorf,2571,1098,773,0,1704,2062,2544,951,269,239,450,817
Span,Spanda,1206,381,408,1813,0,535,684,744,202,218,311,891
StZe,Steglitz-Zehlendorf,1218,738,571,2559,458,0,3149,983,283,182,296,533
TSch,Tempelhof-Schönefeld,1952,2056,798,2264,1011,2703,0,2935,450,234,443,508
Neuk,Neukölln,1750,4079,1018,917,385,845,2626,0,1032,345,475,489
TrKo,Treptow-Köpenick,590,1192,879,300,282,281,515,1397,0,1112,1321,217
MaHe,Mazahn-Hellersdorf,782,713,1197,238,371,229,397,506,1215,0,2718,327
Lich,Lichtenberg,1106,2103,2381,387,650,268,442,605,1055,2062,0,355
Rein,Reinickendorf,3664,514,1002,938,777,420,657,717,210,265,358,0
