abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,12624,14676,11838,4457,4909,8665,7958,2334,2374,4620,10200
FrKr,Friedrichshain-Kreuzberg,12916,0,13297,5313,1753,3193,7322,12212,3840,2942,6324,1846
Pank,Pankow,17567,13391,0,4155,1719,2295,3597,3700,3652,4891,10123,5372
ChWi,Charlottenburg-Wilmersdorf,13004,5609,3623,0,7408,10312,12458,5046,1335,1098,1947,4201
Span,Spanda,5482,1723,1718,8857,0,2384,3416,3094,1002,976,1255,4331
StZe,Steglitz-Zehlendorf,6218,3846,2607,13190,2312,0,16449,5347,1429,834,1341,2550
TSch,Tempelhof-Schönefeld,9335,10364,3471,11864,3579,13960,0,14576,2191,1186,1920,2875
Neuk,Neukölln,8602,20067,4817,4680,2004,4404,13471,0,5268,1464,2551,2536
TrKo,Treptow-Köpenick,2907,6097,4547,1536,1515,1367,2508,7083,0,6379,6664,1087
MaHe,Mazahn-Hellersdorf,2960,3417,5146,949,1466,848,1725,2051,5484,0,12842,1198
Lich,Lichtenberg,5439,10562,11736,1610,2278,1208,2118,2733,5585,11003,0,1524
Rein,Reinickendorf,17198,2520,4713,4528,3584,2157,3285,3467,944,1079,1585,0
