abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,2536,3281,2529,965,1220,1826,1712,608,507,1087,3381,16458,19652,-3194,-0.933372296902396,3381,0
FrKr,Friedrichshain-Kreuzberg,2464,0,2531,1089,343,730,2075,3833,1193,553,2153,515,14057,17479,-3422,-1,3833,0
Pank,Pankow,2923,2660,0,670,303,484,644,934,987,984,2277,932,13761,13798,-37,-0.010812390414962,2923,0
ChWi,Charlottenburg-Wilmersdorf,2312,1058,788,0,1647,2611,2394,885,322,154,272,922,12805,13365,-560,-0.16364699006429,2611,0
Span,Spanda,782,329,300,1389,0,415,637,445,308,235,454,716,6239,6010,229,0.0669199298655757,1389,0
StZe,Steglitz-Zehlendorf,938,658,470,2050,424,0,2752,929,263,150,246,492,10935,9372,1563,0.456750438340152,2752,0
TSch,Tempelhof-Schönefeld,1685,1349,671,2431,591,3176,0,2745,475,378,406,631,14715,14538,177,0.0517241379310345,3176,0
Neuk,Neukölln,1449,2402,695,1028,566,1115,2787,0,1472,367,515,676,13805,13072,733,0.214202220923437,2787,0
TrKo,Treptow-Köpenick,413,726,759,244,181,265,448,1038,0,967,1152,156,8626,6349,2277,0.665400350672122,1152,0
MaHe,Mazahn-Hellersdorf,483,640,1069,237,179,156,217,264,1384,0,2319,208,6874,7156,-282,-0.0824079485680888,2319,0
Lich,Lichtenberg,913,1341,2062,331,215,245,353,465,1362,2390,0,271,11146,9948,1198,0.350087668030392,2390,0
Rein,Reinickendorf,2096,358,1135,807,825,518,582,555,252,189,265,0,8900,7582,1318,0.385154880187025,2096,0
