abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,7802,10516,7651,3491,3789,5653,5155,1731,1948,3302,10393,50679,61431,-10752,-0.864169747628999,10516,0
FrKr,Friedrichshain-Kreuzberg,7533,0,7987,3325,1042,2304,6129,12387,3673,2122,6440,1503,42003,54445,-12442,-1,12387,0
Pank,Pankow,8761,7949,0,2231,1092,1657,2142,3076,2671,3235,7223,2863,41855,42900,-1045,-0.0839897122649092,8761,0
ChWi,Charlottenburg-Wilmersdorf,7022,3068,2546,0,5532,7845,6918,2811,919,635,1067,2734,39497,41097,-1600,-0.128596688635268,7845,0
Span,Spanda,2846,1046,1108,4618,0,1442,2345,1161,948,1045,1456,2133,21414,20148,1266,0.101752129882656,4618,0
StZe,Steglitz-Zehlendorf,3030,1883,1420,6101,1508,0,8377,2524,819,573,764,1227,33582,28226,5356,0.430477415206558,8377,0
TSch,Tempelhof-Schönefeld,5117,4317,2150,7460,2118,9676,0,7845,1535,1034,1279,1949,45318,44480,838,0.0673525156727214,9676,0
Neuk,Neukölln,4782,7276,2233,2897,1921,3034,8704,0,4089,1349,1683,2001,42000,39969,2031,0.163237421636393,8704,0
TrKo,Treptow-Köpenick,1462,2296,2166,854,612,884,1374,3091,0,3476,3300,600,24746,20115,4631,0.372207040668703,3476,0
MaHe,Mazahn-Hellersdorf,1415,1608,2808,695,653,547,724,875,3755,0,6317,657,24160,20054,4106,0.330011252210256,6317,0
Lich,Lichtenberg,2767,3681,5916,1245,816,851,1252,1586,3964,7947,0,982,33818,31007,2811,0.225928307346086,7947,0
Rein,Reinickendorf,5944,1077,3005,2420,2629,1553,1700,1489,642,796,987,0,27042,22242,4800,0.385790065905803,5944,0
