abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,2578,3770,2824,1026,1209,1856,1735,568,505,1050,3424,17518,20545,-3027,-0.890818128310771,3770,0
FrKr,Friedrichshain-Kreuzberg,2627,0,2873,1195,338,812,2160,3847,1231,742,1969,502,14898,18296,-3398,-1,3847,0
Pank,Pankow,2992,2688,0,722,323,466,685,807,889,927,2236,918,14846,13653,1193,0.3510888758093,2992,0
ChWi,Charlottenburg-Wilmersdorf,2504,1187,821,0,1678,2734,2552,984,295,160,271,872,13739,14058,-319,-0.0938787522071807,2734,0
Span,Spanda,829,378,311,1401,0,455,597,398,259,186,368,735,6585,5917,668,0.196586227192466,1401,0
StZe,Steglitz-Zehlendorf,941,652,405,2161,452,0,2831,951,285,125,198,438,11606,9439,2167,0.637728075338434,2831,0
TSch,Tempelhof-Schönefeld,1863,1656,776,2567,707,3597,0,2881,498,313,433,705,15288,15996,-708,-0.208357857563273,3597,0
Neuk,Neukölln,1727,2534,772,1121,607,1198,3085,0,1522,335,535,790,14059,14226,-167,-0.0491465567981165,3085,0
TrKo,Treptow-Köpenick,459,818,727,237,209,280,369,1139,0,1041,1133,188,8318,6600,1718,0.505591524426133,1139,0
MaHe,Mazahn-Hellersdorf,476,694,1014,166,144,131,245,325,1240,0,2367,214,7052,7016,36,0.0105944673337257,2367,0
Lich,Lichtenberg,940,1302,2145,371,224,245,315,500,1338,2505,0,332,10832,10217,615,0.180988816951148,2505,0
Rein,Reinickendorf,2160,411,1232,974,877,479,593,492,193,213,272,0,9118,7896,1222,0.359623307828134,2160,0
