abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein,sum_imm,sum_emm,saldo,saldo_norm,max_emm,sum_int
Mitt,Mitte,0,7719,10638,7862,3154,3687,5595,5211,1776,1616,3259,10269,51153,60786,-9633,-0.845074129309589,10638,0
FrKr,Friedrichshain-Kreuzberg,7650,0,8171,3471,1016,2327,6327,11918,3707,2005,6356,1500,43049,54448,-11399,-1,11918,0
Pank,Pankow,8966,8075,0,2071,959,1484,2014,2790,2806,2903,6991,2796,43062,41855,1207,0.105886481270287,8966,0
ChWi,Charlottenburg-Wilmersdorf,7267,3228,2490,0,5126,8061,7295,2878,930,502,887,2722,39766,41386,-1620,-0.142117729625406,8061,0
Span,Spanda,2468,1051,953,4301,0,1369,1905,1235,916,692,1222,2126,19711,18238,1473,0.129221861566804,4301,0
StZe,Steglitz-Zehlendorf,2917,1947,1395,6337,1359,0,8587,2765,808,426,683,1310,34046,28534,5512,0.483551188700763,8587,0
TSch,Tempelhof-Schönefeld,5296,4471,2205,7499,2014,10114,0,8327,1498,998,1256,2003,45487,45681,-194,-0.0170190367576103,10114,0
Neuk,Neukölln,4723,7367,2198,3165,1773,3434,8863,0,4359,1103,1617,2098,42282,40700,1582,0.13878410386876,8863,0
TrKo,Treptow-Köpenick,1364,2303,2272,799,578,831,1325,3234,0,3142,3414,529,25555,19791,5764,0.505658391086937,3414,0
MaHe,Mazahn-Hellersdorf,1421,1904,3155,620,514,475,711,842,4022,0,6935,640,21510,21239,271,0.0237740152644969,6935,0
Lich,Lichtenberg,2782,3865,6145,1076,667,751,1077,1519,4064,7499,0,902,33462,30347,3115,0.27326958505132,7499,0
Rein,Reinickendorf,6299,1119,3440,2565,2551,1513,1788,1563,669,624,842,0,26895,22973,3922,0.344065268883235,6299,0
