abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,7650,8966,7267,2468,2917,5296,4723,1364,1421,2782,6299
FrKr,Friedrichshain-Kreuzberg,7719,0,8075,3228,1051,1947,4471,7367,2303,1904,3865,1119
Pank,Pankow,10638,8171,0,2490,953,1395,2205,2198,2272,3155,6145,3440
ChWi,Charlottenburg-Wilmersdorf,7862,3471,2071,0,4301,6337,7499,3165,799,620,1076,2565
Span,Spanda,3154,1016,959,5126,0,1359,2014,1773,578,514,667,2551
StZe,Steglitz-Zehlendorf,3687,2327,1484,8061,1369,0,10114,3434,831,475,751,1513
TSch,Tempelhof-Schönefeld,5595,6327,2014,7295,1905,8587,0,8863,1325,711,1077,1788
Neuk,Neukölln,5211,11918,2790,2878,1235,2765,8327,0,3234,842,1519,1563
TrKo,Treptow-Köpenick,1776,3707,2806,930,916,808,1498,4359,0,4022,4064,669
MaHe,Mazahn-Hellersdorf,1616,2005,2903,502,692,426,998,1103,3142,0,7499,624
Lich,Lichtenberg,3259,6356,6991,887,1222,683,1256,1617,3414,6935,0,842
Rein,Reinickendorf,10269,1500,2796,2722,2126,1310,2003,2098,529,640,902,0
