abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,7533,8761,7022,2846,3030,5117,4782,1462,1415,2767,5944
FrKr,Friedrichshain-Kreuzberg,7802,0,7949,3068,1046,1883,4317,7276,2296,1608,3681,1077
Pank,Pankow,10516,7987,0,2546,1108,1420,2150,2233,2166,2808,5916,3005
ChWi,Charlottenburg-Wilmersdorf,7651,3325,2231,0,4618,6101,7460,2897,854,695,1245,2420
Span,Spanda,3491,1042,1092,5532,0,1508,2118,1921,612,653,816,2629
StZe,Steglitz-Zehlendorf,3789,2304,1657,7845,1442,0,9676,3034,884,547,851,1553
TSch,Tempelhof-Schönefeld,5653,6129,2142,6918,2345,8377,0,8704,1374,724,1252,1700
Neuk,Neukölln,5155,12387,3076,2811,1161,2524,7845,0,3091,875,1586,1489
TrKo,Treptow-Köpenick,1731,3673,2671,919,948,819,1535,4089,0,3755,3964,642
MaHe,Mazahn-Hellersdorf,1948,2122,3235,635,1045,573,1034,1349,3476,0,7947,796
Lich,Lichtenberg,3302,6440,7223,1067,1456,764,1279,1683,3300,6317,0,987
Rein,Reinickendorf,10393,1503,2863,2734,2133,1227,1949,2001,600,657,982,0
