abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,4879,5950,4701,1859,1963,3409,3145,940,923,1849,4032
FrKr,Friedrichshain-Kreuzberg,5214,0,5325,2037,702,1224,2842,4782,1507,1087,2463,699
Pank,Pankow,7052,5413,0,1691,725,975,1464,1440,1498,1939,4018,2033
ChWi,Charlottenburg-Wilmersdorf,5080,2227,1458,0,2914,4039,4916,1946,585,456,795,1603
Span,Spanda,2285,661,684,3719,0,973,1434,1177,410,435,505,1738
StZe,Steglitz-Zehlendorf,2571,1566,1086,5286,984,0,6527,2051,601,365,555,1020
TSch,Tempelhof-Schönefeld,3701,4073,1344,4654,1334,5674,0,5769,924,490,809,1192
Neuk,Neukölln,3405,8308,2058,1894,776,1679,5219,0,2059,530,1111,1000
TrKo,Treptow-Köpenick,1141,2481,1792,619,666,538,1020,2692,0,2643,2643,425
MaHe,Mazahn-Hellersdorf,1166,1409,2038,397,674,344,637,843,2261,0,5229,469
Lich,Lichtenberg,2196,4337,4842,680,806,496,837,1078,2245,4255,0,632
Rein,Reinickendorf,6729,989,1861,1796,1356,807,1292,1284,390,392,624,0
