abbrev,Bezirk,Mitt,FrKr,Pank,ChWi,Span,StZe,TSch,Neuk,TrKo,MaHe,Lich,Rein
Mitt,Mitte,0,2559,3051,2451,857,1038,1748,1547,492,462,929,2043
FrKr,Friedrichshain-Kreuzberg,2605,0,2727,983,344,637,1466,2431,759,570,1222,350
Pank,Pankow,3587,2767,0,881,342,520,758,731,786,1072,1938,1073
ChWi,Charlottenburg-Wilmersdorf,2509,1187,679,0,1511,2126,2501,1016,318,217,374,784
Span,Spanda,1163,335,333,1801,0,483,716,600,188,191,228,849
StZe,Steglitz-Zehlendorf,1258,785,534,2716,499,0,3341,1121,286,188,261,516
TSch,Tempelhof-Schönefeld,1913,2092,685,2349,671,3004,0,2991,508,249,409,613
Neuk,Neukölln,1764,4238,1049,1009,392,885,2701,0,1057,253,554,516
TrKo,Treptow-Köpenick,600,1283,930,313,349,260,525,1365,0,1398,1364,224
MaHe,Mazahn-Hellersdorf,604,710,992,188,271,151,307,401,1134,0,2604,222
Lich,Lichtenberg,1122,2234,2478,344,400,239,417,567,1129,2249,0,305
Rein,Reinickendorf,3464,483,946,928,675,380,667,632,185,218,299,0
